tanggal,pasrujambe,pronojiwo,pasirian,jokarto
5/26/2022,0,97.4,1.4,6.4
5/27/2022,0,36,0.6,0.8
5/28/2022,0,0.6,0.2,0
5/29/2022,0,7.2,0,0
5/30/2022,0,338.8,2.2,14.2
5/31/2022,0,2376.4,0.2,0
6/1/2022,0,578.3,,6.8
6/2/2022,,0.1,0,1.6
6/3/2022,0,0,0.4,0
6/4/2022,0,0,0,2.8
6/5/2022,47,13.4,3.2,28.4
6/6/2022,0.2,0.8,0,2.6
6/7/2022,0.2,0,0,0.2
6/8/2022,0,0,0,0
6/9/2022,0.2,0.3,1,4.2
6/10/2022,0,0,0.2,0
6/11/2022,3.2,0,14.6,28.8
6/12/2022,0,0.7,0,0.4
6/13/2022,0,5,0,2.8
6/14/2022,1.6,21.6,1.6,6.2
6/15/2022,1,33.5,0.2,0.4
6/16/2022,1.8,19.8,0,0
6/17/2022,0,6.6,0.4,5.4
6/18/2022,30.6,46.9,3.6,21.4
6/19/2022,7.8,101.2,0.2,3.2
6/20/2022,1.6,225,21.2,18.6
6/21/2022,0,2.3,0.2,0
6/22/2022,0.2,1,0,0
6/23/2022,0.2,0.3,0,0
6/24/2022,4.8,118.8,0,0
6/25/2022,26.8,36.9,2.4,0
6/26/2022,0.2,6.6,0.2,0
6/27/2022,0,56.5,10.6,28.2
6/28/2022,1.8,26.6,0,0.2
6/29/2022,0,0.3,0,0
6/30/2022,0,103.5,0,0.2
7/1/2022,11.8,1.7,5.2,0
7/2/2022,0.2,12.3,0.2,0
7/3/2022,1.6,15,2.8,1.4
7/4/2022,5.2,3.6,0,0
7/5/2022,0.2,1.2,0,0
7/6/2022,0,0.3,0.2,2
7/7/2022,1,2.7,0.2,0
7/8/2022,0,0,0,0
7/9/2022,0,0,0,0
7/10/2022,0,0,0,0
7/11/2022,3.4,0.3,6.2,0
7/12/2022,0.2,6,0.6,0.6
7/13/2022,10,15.8,1.2,0
7/14/2022,1.8,3.8,0.2,0
7/15/2022,3.6,18.2,0,0
7/16/2022,2.6,6.6,0.2,0
7/17/2022,0.6,0.3,3.2,0
7/18/2022,0,0,0,0
7/19/2022,0,0,0,0
7/20/2022,0.2,0,0,0
7/21/2022,0.4,8.3,3,4.2
7/22/2022,10.6,33.5,0,0
7/23/2022,0,0.3,0,0
7/24/2022,9.6,59,0.2,0
7/25/2022,0,0,0,0
7/26/2022,0,0,0,0
7/27/2022,0,0,0,0
7/28/2022,0.2,0.6,0,0
7/29/2022,0,0,0,0
7/30/2022,0,0,0,0
7/31/2022,,0,0,0
8/1/2022,,0,0,0
8/2/2022,0,0,0,0
8/3/2022,,0.6,0,0
8/4/2022,,7.2,0,0.2
8/5/2022,,0,0,0
8/6/2022,,0,0,0
8/7/2022,,5.6,16.8,14
8/8/2022,,56.7,24.4,18.2
8/9/2022,8.8,1.7,0.2,0
8/10/2022,26,39,0.2,0.6
8/11/2022,15.2,39,0.2,0
8/12/2022,11.4,91.9,0,6.6
8/14/2022,0.6,15,2.8,2
8/15/2022,0,0,0.2,0
8/16/2022,0,1.1,3.4,0
8/17/2022,2.8,33.2,0,0
8/18/2022,3.8,12.8,0.2,0
8/19/2022,9.4,11.1,0,0
8/20/2022,1,4.9,0.2,0
8/21/2022,0.2,0.2,0,0
8/22/2022,0,0,0,0
8/23/2022,0,0.1,0,0
8/24/2022,0,0.8,0,0
8/25/2022,1.6,0.4,0,0
8/26/2022,0.2,1,0,0
8/27/2022,0.2,2.4,0,0
8/28/2022,1,1.1,0,0
8/29/2022,0.2,0,0,0.8
8/30/2022,66,92.6,2.4,5.6
8/31/2022,0.8,2.2,0.4,0
9/1/2022,0.2,0,0,0
9/2/2022,1.4,5.7,0,0.2
9/3/2022,0.2,0,0,0
9/4/2022,0,0,0,0
9/5/2022,2.2,1.8,0,0
9/6/2022,0,0,0,0
9/7/2022,6.2,6,1.2,10.6
9/8/2022,0.6,34.9,0,3
9/9/2022,0.6,1.8,5,4.4
9/10/2022,14.2,7.8,0.4,3
9/11/2022,32.8,220.8,14.2,16
9/12/2022,0.8,3.6,4,0
9/13/2022,0,0,0,0
9/14/2022,1,4.2,2.8,5.2
9/15/2022,21.8,13.7,2.4,0
9/16/2022,5.6,65.4,5.8,1.6
9/17/2022,0,0,0,0
9/18/2022,0,0,0,0
9/19/2022,0,0,0,0
9/20/2022,27.4,68.2,3.6,3.4
9/21/2022,6,20.8,3.6,0
9/22/2022,5,35.6,1.8,3
9/23/2022,4,27.2,1.8,6.6
9/24/2022,0,0.2,2.6,0.2
9/25/2022,0,0,0,0
9/26/2022,2,6.1,2.8,0.6
9/27/2022,0.2,0.3,0.2,0
9/28/2022,0,0,0,0
9/29/2022,0,11.4,10.6,2.6
9/30/2022,0,0,0,0
10/1/2022,8.2,44.6,53.6,35
10/2/2022,12.8,36.1,38.2,31.6
10/3/2022,23.8,1.9,0.2,0
10/4/2022,1,19.2,13.6,2.2
10/5/2022,0.2,0,0,0.2
10/6/2022,7.6,44.1,7,39.8
10/7/2022,38.2,58.4,4,2.8
10/8/2022,37.4,122.2,13.2,24.6
10/9/2022,16,6.9,1,11.6
10/10/2022,14.2,4.2,9.6,12.4
10/11/2022,0.4,8.4,1.2,0.2
10/12/2022,0,0,0,0
10/13/2022,15,77.8,13.2,17.6
10/14/2022,7.2,19.6,9.6,2
10/15/2022,25.6,91.6,29.4,10.8
10/16/2022,25.6,65.7,10,7.4
10/17/2022,37.4,113.4,22.6,18.2
10/18/2022,30.2,141.9,29.6,33
10/19/2022,2.4,19,0,0
10/20/2022,0.6,9.7,4.4,21.4
10/21/2022,0,1.3,1.4,0
10/22/2022,12.8,60.7,15.8,63.8
10/23/2022,0.2,0,0.2,0
10/24/2022,23.8,0,0,0
10/25/2022,0.2,1.3,0,0
10/26/2022,29.6,147,6.2,6.4
10/27/2022,7.6,1.3,2.2,6.4
10/28/2022,1.8,0,0,0
10/29/2022,0,0,0,0
10/30/2022,1,0.6,0,0
10/31/2022,0.6,0,0,0.2
11/1/2022,0.4,1.6,1.2,17.8
11/2/2022,1,13.2,18.8,5
11/3/2022,5.2,9.9,10.2,8.8
11/4/2022,27,58.2,9.8,1.4
11/5/2022,2.2,5.3,0.4,2.2
11/6/2022,11.2,28.4,2,5.6
11/7/2022,14.8,3.1,17,21
11/8/2022,7.4,61,15,116.4
11/9/2022,4.8,55.2,7.8,7.4
11/10/2022,0.2,4.2,0,0
11/11/2022,0,32.6,0,7.2
11/12/2022,0.6,54,0.6,2.8
11/13/2022,4.4,1.2,0.2,6.2
11/14/2022,5,46.8,3.6,4.8
11/15/2022,1,16.4,0,0.8
11/16/2022,29.4,94.5,38.8,2.8
11/17/2022,9.8,105.8,4,9
11/18/2022,2.6,9.8,2,3.4
11/19/2022,0.2,0.4,0,0
11/20/2022,2.6,1.7,1.2,2.4
11/22/2022,2.8,21,0,3
11/24/2022,0,0.4,0,0
11/25/2022,19,323.8,1,2.4
11/26/2022,10.2,20.6,2.6,7.2
11/27/2022,13.2,204.2,4.8,16.2
11/28/2022,9.8,255.2,21.2,125.6
11/29/2022,10.2,114.7,4.4,1.4
11/30/2022,2.8,1.6,9,1.4
12/1/2022,0,1.2,0.2,0.4
12/2/2022,0,0,0,0
12/3/2022,0,0,0,0
12/4/2022,0,1.5,0,0
12/5/2022,2.8,77.7,1.6,1
12/6/2022,0.2,1.4,0.4,0.4
12/7/2022,0.6,11.8,13.6,0.4
12/8/2022,3.6,24.1,0.2,0
12/9/2022,29.4,12.7,7,3.4
12/10/2022,0,232.4,0,0
12/11/2022,0,4.5,1,1.4
12/12/2022,0,1.2,0.8,0
12/13/2022,0.2,0,0.2,0
12/14/2022,0,51.8,0,0
12/15/2022,0,49.4,0.4,0
12/16/2022,0.8,12,0,2.6
12/17/2022,7.4,46.3,0,1
12/18/2022,1,0.2,0,0
12/19/2022,0,0,0,0
12/20/2022,0,0,0,0
12/21/2022,2.2,15.4,14.6,18
12/23/2022,0,0.3,0.2,1.4
12/24/2022,6.8,22,22,16.2
12/25/2022,1.2,0.2,0.6,0.4
12/26/2022,2.8,0.2,0.4,5.6
12/27/2022,2.4,0.5,0.2,4.6
12/28/2022,0,0.9,0.4,15.6
12/29/2022,4.6,0.6,4.6,64.4
12/30/2022,0.2,0.5,0,2.6
12/31/2022,0,0.8,0,0.8
1/1/2023,,,,0.4
1/2/2023,0.6,0.5,0,45.8
1/3/2023,4.2,1.4,0,9.6
1/4/2023,0,0.1,0,0
1/5/2023,0,0.8,0,0
1/6/2023,7.2,0.7,0,0.8
1/7/2023,0.2,0.3,0,1.4
1/8/2023,0.2,0.2,0,0
1/9/2023,0.4,1.4,0,0
1/10/2023,0.2,0.5,0,0
1/11/2023,0,0.9,0,0
1/12/2023,0,0.2,0,0
1/13/2023,0,0,0,0
1/14/2023,0,0.1,0,0
1/15/2023,79.4,0.2,12.8,50.8
1/16/2023,10.8,0.3,0,0
1/17/2023,7,0.1,1.6,21.6
1/18/2023,20.6,0.3,10.4,16.4
1/19/2023,0,0,0.2,0.4
1/20/2023,0,0,0,0
1/21/2023,38.2,205.7,107.8,23.2
1/22/2023,25.8,0,10,18.6
1/23/2023,0.6,0,0,0
1/24/2023,0,0.4,0,0
1/25/2023,0.4,32.1,0,0
1/26/2023,0.2,2.9,0,0.6
1/27/2023,10,0.2,0.2,5
1/28/2023,23,10.9,1.8,5.2
1/29/2023,52.4,25.8,15.8,25.6
1/30/2023,104.4,65.4,15.2,72.6
1/31/2023,0.2,0,0,0
2/1/2023,0.2,13.5,3.2,2.2
2/2/2023,18.8,5.8,3,2.2
2/3/2023,3.4,28.5,2.2,2
2/4/2023,1,0,0,0
2/5/2023,,,,
2/6/2023,,,0,0
2/7/2023,5.2,,0.2,0.2
2/8/2023,58.2,,83.4,293.4
2/9/2023,0.8,,16.6,0.2
2/10/2023,0.2,,0,0.2
2/11/2023,33,,60.4,0
2/12/2023,14.6,,4.6,
2/13/2023,11.4,,19.8,
2/14/2023,0,,0.2,
2/15/2023,15.4,,0,
2/16/2023,21.2,,0.6,
2/18/2023,0.2,0,0,
2/19/2023,0.6,2,1.6,3
2/20/2023,23.2,0,2,0.2
2/21/2023,17.2,2.2,0.4,0
2/22/2023,59.6,0.2,0,0.4
2/24/2023,0,,,
2/25/2023,5,,2.6,70.2
2/26/2023,0,,0,0
2/27/2023,0.2,,0,0.6
2/28/2023,3.6,,22.2,9.8
3/1/2023,20.6,,81,32.4
3/2/2023,3,,0.6,0.2
3/3/2023,0,,0.2,0
3/4/2023,0,,0,0
3/5/2023,0,,0,0
3/6/2023,4.8,,5.2,0
3/7/2023,0,,0.2,0
3/8/2023,1.4,,0,0
3/9/2023,7,,0,13.8
3/10/2023,0,,0,0.2
3/11/2023,0,,0,0
3/12/2023,0,,0,0
3/13/2023,0,,0,0
3/14/2023,0,,0,0
3/15/2023,10.4,,10.4,0.2
3/16/2023,0,,25,0
3/17/2023,3.6,,0.4,24.4
3/18/2023,0.4,,0,0
3/19/2023,11.4,,0,3.2
3/20/2023,9.6,,38.2,16
3/21/2023,0,,3.2,0
3/22/2023,52.6,3.8,51.4,16.4
3/23/2023,35.4,55.4,2.4,0.2
3/24/2023,1.6,6.8,0.8,2
3/25/2023,0,96.2,0,0
3/26/2023,4.6,56.2,17.2,28.4
3/27/2023,2.4,23.4,0,0
3/28/2023,4.8,375.2,0.8,0.8
3/29/2023,5.2,36.8,19.6,0.4
3/30/2023,1.6,5.6,0,0
3/31/2023,0,0,0,0
4/1/2023,0,0,0,0
4/2/2023,0,0,0,0
4/4/2023,,,1,4.2
4/5/2023,18.8,219.4,0,0.8
4/6/2023,2.2,423.2,0,0
4/7/2023,0.4,2.4,2.4,0.8
4/8/2023,0,0,0,0
4/9/2023,0,0,0,0
4/11/2023,0.2,3.6,0,13.6
4/12/2023,2.2,30.4,0,5.2
4/13/2023,0,0.4,0,0
4/14/2023,12,20.4,6.6,4.6
4/15/2023,0,0,0,0
4/16/2023,0,0,0,0
4/17/2023,0,0,0,0
4/19/2023,0,0,0,0
4/20/2023,0,0,0,0
4/21/2023,0.2,0,0.2,0
4/22/2023,0,,0,0
4/23/2023,0.2,0,0,0
4/24/2023,0,0,0,0
4/25/2023,0,0,0,0
4/26/2023,0,0,0,0
4/27/2023,0,0.6,0.2,0
4/28/2023,0,28.6,0,0
4/29/2023,52.4,10.2,0,10
4/30/2023,2,33.8,0.2,0
5/1/2023,0,7.2,0,0
5/2/2023,4.8,2.8,5.6,21.8
5/3/2023,2.6,132,0.2,0
5/4/2023,0,0.8,0,0
5/5/2023,11.8,94.6,49.2,54.8
5/6/2023,3.4,104.8,0,4.2
