Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
07/12/2021 00:00;28.8;27.1;24.2;8.1;24.5;85.7;1.8;5.7;3.6
08/12/2021 00:00;31.6;28.4;25.7;4.8;24.9;81.5;2.5;8.7;0
09/12/2021 00:00;30.1;28.1;26;8.2;24.8;82;2.3;4.6;9.6
10/12/2021 00:00;31.2;28.4;25;3.6;24.7;80.5;2.1;4.6;2.6
11/12/2021 00:00;31;28.1;26.4;4.8;24.2;79.3;2.5;5.7;7
12/12/2021 00:00;32;29.2;26.4;3.5;23.7;72.6;3.3;6.7;3.4
13/12/2021 00:00;31.7;29.4;27.2;5.9;24;72.7;3.2;7.7;7.2
14/12/2021 00:00;30.6;28.8;26.9;4.1;25.2;80.6;2.5;5.7;8.4
15/12/2021 00:00;31.5;29.1;27.3;9999;24.5;76.3;1.4;3.6;9999
16/12/2021 00:00;33;28.6;26.4;6.7;24.5;78.7;2.1;5.1;2.8
17/12/2021 00:00;32.8;29.1;27;6;23.9;73.4;2;4.1;4.5
18/12/2021 00:00;33;28.5;25.8;5.6;24.2;77.2;1.5;5.7;7.3
19/12/2021 00:00;32.4;29.6;26.8;7.3;25.1;77.1;1.9;5.7;6.3
20/12/2021 00:00;31.5;28;25.6;4.1;24.5;81.7;1.6;3.6;6.8
21/12/2021 00:00;29.4;26.9;25.4;2;24.6;87.3;1.5;3.1;2.4
22/12/2021 00:00;32.2;29;26;3.6;24.3;75.8;1.4;3.6;.6
23/12/2021 00:00;31.5;27.7;25.6;1.5;24;80.6;2.1;5.7;6.3
24/12/2021 00:00;32.3;28.7;26.5;3.3;24.5;78.3;2.4;5.7;4.1
25/12/2021 00:00;31.2;28;23.8;5.3;24.5;81;1.9;4.1;5
26/12/2021 00:00;31.4;28.6;24.9;3.8;24;76.3;2.1;5.1;3.5
27/12/2021 00:00;32.1;28.9;26;3.2;24.5;77.3;2.4;6.7;4.9
28/12/2021 00:00;31.8;28.2;25;6;24.7;81.1;2.2;5.7;8.4
29/12/2021 00:00;31;28.7;25.4;5.4;24.7;79.4;1.7;4.6;6.2
30/12/2021 00:00;30.3;28.4;26.6;2.7;24.6;79.8;1.7;3.1;4.2
31/12/2021 00:00;31.4;29;26.8;1.6;24.5;77.1;2.6;4.6;.4
