Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
15/07/2022 00:00;32.6;28.1;23;5.2;24.5;81.1;2.9;5.7;8.6
16/07/2022 00:00;30.4;26.9;23;11.9;23.8;83.1;1.6;3.6;8.4
17/07/2022 00:00;31;28.3;26;2.7;24.9;82.2;1.6;4.1;.5
18/07/2022 00:00;31.6;29;26.1;1.5;25.2;80;2.1;4.1;.8
19/07/2022 00:00;32;29.5;26.8;4.9;25.4;78.7;2.2;5.1;8.5
20/07/2022 00:00;32.6;29.5;26.8;5.7;25.4;78.3;2.2;4.6;8.9
21/07/2022 00:00;31.8;29.4;27;4.2;24.6;75.3;1.3;4.1;8.9
22/07/2022 00:00;31;28.6;26.3;5;24.5;78.8;2.4;5.7;8.2
23/07/2022 00:00;32.7;29.3;26.6;2.6;25;78;1.8;4.6;2.2
24/07/2022 00:00;31.8;29.1;26.6;4;25.1;79.3;1.5;3.6;8.9
25/07/2022 00:00;31.7;29.1;26.8;6.2;24.4;75.6;1.6;3.6;8.9
26/07/2022 00:00;31.8;29;26.4;5.5;23.7;73.1;2.3;4.6;4.3
27/07/2022 00:00;33;29.2;26.8;6;23.8;72.9;2.3;4.1;8
28/07/2022 00:00;33.2;29.8;27.1;6.9;24.8;74.8;3.2;5.1;6.6
29/07/2022 00:00;33;29.6;27;1.7;25;76.3;2.7;5.1;9999
30/07/2022 00:00;31.4;29.1;26.8;4.1;25.1;79;2.3;5.1;7.8
31/07/2022 00:00;32.2;29.1;26.2;5.2;24.7;77.4;3;6.7;9.4
01/08/2022 00:00;32.4;29.7;26.4;4;24.9;75.5;2.9;4.6;7.4
02/08/2022 00:00;32;29.6;27.6;5.2;24.8;75.1;2;4.1;9.1
03/08/2022 00:00;32.6;29.1;25;4.9;25;78.6;3;5.1;7.2
04/08/2022 00:00;31.4;28.2;25.4;2.6;25.2;83.8;1.8;4.6;4.6
05/08/2022 00:00;30.6;28.3;26;8.1;25.2;83;1.3;2.6;7.2
06/08/2022 00:00;31.6;28.9;26.3;5;24.5;77.2;1.5;5.1;6.7
07/08/2022 00:00;31.6;28.9;26;5.3;24.3;76.1;2.4;5.7;8.7
08/08/2022 00:00;32.6;29.7;26.2;3.7;24.6;74.6;1.8;3.1;8.5
09/08/2022 00:00;31.9;29.4;26.4;6;24.6;75.2;1.9;4.1;8.9
10/08/2022 00:00;33.4;29.9;27;6.3;24.9;74.5;2.1;5.7;8.7
11/08/2022 00:00;33;30.1;27.2;6;25.4;76.1;2.3;5.1;7
12/08/2022 00:00;32.8;29.4;26.5;2.7;24.9;77.1;2;3.6;8.6
13/08/2022 00:00;31.6;29.3;26.8;5.2;24.9;77.4;2.2;6.2;8.6
14/08/2022 00:00;33.4;29.7;27.1;5;25;75.8;2.3;7.7;6.6
15/08/2022 00:00;32.2;29.5;27.2;6.1;24.7;75.5;2.1;4.6;8.3
16/08/2022 00:00;31.2;29;26.6;4;25;78.9;1.5;3.6;6.6
17/08/2022 00:00;31.8;29.5;26.7;4.3;25;76.5;1.8;5.1;4.3
18/08/2022 00:00;33.6;29.8;27;4.6;23.9;70.6;2.7;6.2;7.3
19/08/2022 00:00;34.3;30.4;27.2;5.7;24.3;70.1;3.7;7.2;9
20/08/2022 00:00;33.9;30.3;27.6;6.6;24.4;70.8;3.1;7.7;8.6
21/08/2022 00:00;32;28.8;26;5.1;24.6;78;1.8;4.6;8.9
22/08/2022 00:00;30.2;28.6;26.8;4.4;25.1;81.2;1;2.6;7.6
23/08/2022 00:00;33;30;27;2.8;24.9;74.2;2;4.6;2.1
24/08/2022 00:00;32;29.5;27;6.9;25.1;77.2;2.3;4.6;8.6
25/08/2022 00:00;32.2;29.5;26.8;4;23.8;71.4;1.9;5.1;6.5
26/08/2022 00:00;31.6;29.4;26.8;6.1;24.2;73.5;1;4.1;7
27/08/2022 00:00;31.7;28.8;26.7;5.4;24.9;79.3;1.2;4.1;2.8
28/08/2022 00:00;30.8;28.3;26.2;4.5;25.1;82.9;1.6;4.6;2.8
29/08/2022 00:00;31.6;28.9;26.2;4.3;24.5;77.4;1.2;3.1;3.9
30/08/2022 00:00;32.6;29.7;27.2;3.2;24.2;72.3;1.4;4.1;7.7
31/08/2022 00:00;31.8;29.2;27.3;4.8;24.5;76.1;2.3;4.6;7.3
01/09/2022 00:00;32.8;29.7;26.8;4.4;24.9;75.8;3;5.7;4.4
02/09/2022 00:00;32;28.9;26.2;4.5;25;79.4;1.6;6.2;8
03/09/2022 00:00;32.4;28.8;26.2;2.6;23.6;73.5;3.7;8.7;3.1
04/09/2022 00:00;32;29.5;27.2;8.1;24.6;75.1;2;3.6;8.7
05/09/2022 00:00;33;30;27.8;4.7;25.4;76.6;1.9;4.6;7.4
06/09/2022 00:00;33;29.7;26.6;2.7;25.1;76.4;2.5;4.6;7.4
07/09/2022 00:00;31;27.8;26;3.8;25.1;85.3;1.4;3.6;9.2
08/09/2022 00:00;27.8;26.5;25.2;1.6;24.5;89;.7;3.1;5.3
09/09/2022 00:00;29.9;26.6;24.4;1.1;24.2;86.6;1.6;4.6;0
10/09/2022 00:00;30.1;27.2;25.2;6.9;24.2;83.4;1.3;2.6;2
11/09/2022 00:00;30.9;28;25.6;3.4;24.6;81.7;1.5;5.7;1.2
12/09/2022 00:00;31.5;29.1;26.1;5.4;25.1;78.9;1.6;3.6;9.5
13/09/2022 00:00;31.6;28.9;26;4.2;24;75;1.5;3.1;8.4
14/09/2022 00:00;31.2;29.3;26.4;4.5;24.2;74.3;1.5;4.1;6.5
15/09/2022 00:00;32.6;29.4;26.7;3.5;24.1;73.4;1.1;3.6;4.4
16/09/2022 00:00;33;29.3;26.6;4.7;23.9;73.1;1.1;3.6;6.9
17/09/2022 00:00;32;29.7;27.3;4.5;25.1;76.3;1.7;3.6;6.2
18/09/2022 00:00;31.4;29.3;27.1;4.9;25.6;80.3;1.1;4.1;7.9
19/09/2022 00:00;33.4;29.7;26.6;4.3;24.1;72;1.7;4.6;2.8
20/09/2022 00:00;32;29.5;27;3.2;24.8;75.7;1.9;3.6;8.7
21/09/2022 00:00;31.6;29.4;27.2;4;24.5;75;1.3;3.6;5.7
22/09/2022 00:00;30.8;28.4;26.8;5.1;24.8;80.9;1.2;3.6;6
23/09/2022 00:00;31.9;28.5;26.4;2;24.6;79.5;1.3;3.1;1
24/09/2022 00:00;32.7;29.7;27.2;3.9;24.9;75.5;2.1;4.6;4.6
25/09/2022 00:00;32.2;29.7;27.4;7.2;24.8;75;1.6;5.7;8.7
26/09/2022 00:00;33.8;29.8;26.8;4.9;24.4;72.7;1.8;4.1;6.5
27/09/2022 00:00;32.8;30;27;5.7;24.4;72.2;1.5;4.1;7.8
28/09/2022 00:00;32.8;29.9;27.6;7.4;24.5;73.1;1.5;3.6;9.2
29/09/2022 00:00;32.4;29.8;27.2;4.1;24.5;73.3;2.3;4.6;6.7
30/09/2022 00:00;32.5;29.6;27.6;3.4;24.3;73.3;3.2;7.7;5
01/10/2022 00:00;32.6;30;27.4;4.3;25.3;75.9;2.5;4.6;4.3
02/10/2022 00:00;30;27.7;24.6;2.6;24.9;84.7;1;4.1;9.3
03/10/2022 00:00;32.4;29;26.6;6.6;24.7;77.9;1.4;5.7;2.8
04/10/2022 00:00;31.6;27.5;25.4;6.6;24.6;84.2;1.2;4.1;7.2
05/10/2022 00:00;30;27.9;26.2;5.6;25;84;1.5;4.1;6.5
06/10/2022 00:00;31.6;27.9;25;2.4;24.9;83.6;1.8;6.7;1
07/10/2022 00:00;30.8;27;24.8;5.9;24.2;84.5;2.6;7.7;8.2
08/10/2022 00:00;33.1;28.7;25.2;3.9;24.9;79.5;1.4;5.1;1.9
09/10/2022 00:00;31.8;28.6;26.4;4.4;23.9;75.7;1.5;3.1;3.4
10/10/2022 00:00;30.4;28.4;26.5;3.2;25;81.6;1.4;3.6;3.6
11/10/2022 00:00;30.9;27.5;24.8;3.4;24.7;84.5;1.1;3.6;3.8
12/10/2022 00:00;31;28.3;25.8;5.3;24.7;81.1;1.9;4.6;.2
13/10/2022 00:00;32;27.8;24.8;6.4;24.5;82.2;1.2;3.6;7.4
14/10/2022 00:00;32;29.2;26.4;3.4;25;78;1.9;5.1;7.6
15/10/2022 00:00;31.6;28.8;26.8;4.6;25.2;80.6;1.4;5.1;8.4
16/10/2022 00:00;31.6;29.4;27.2;5.3;25.3;78.6;1.1;3.1;3.2
17/10/2022 00:00;32.1;29.9;27.3;1.9;25.9;79.3;1.1;2.6;5.4
18/10/2022 00:00;30;28.2;26.7;4.9;24.9;82.7;.7;3.6;5
19/10/2022 00:00;31;27.8;26.2;3;24.9;84.1;.9;4.6;0
20/10/2022 00:00;31.6;28.6;26.2;1.4;24.8;80;2.4;4.1;1.8
21/10/2022 00:00;30.6;28.7;27;5;24.6;78.4;1.2;3.6;6.1
22/10/2022 00:00;32.2;28.8;24.8;.7;25.2;81;1.2;3.6;0
23/10/2022 00:00;32.7;29.4;25.6;1.4;24.9;76.8;2.3;4.6;8.8
24/10/2022 00:00;33.6;29;26.6;4;24.4;76.2;4.2;8.2;8.1
25/10/2022 00:00;31;27.5;23.8;7.2;23.9;80.9;3.3;7.7;7.1
26/10/2022 00:00;31.4;27.9;24;3.6;24.6;82.4;3.1;5.7;3.1
27/10/2022 00:00;31.8;28.9;25.8;2.9;24.3;76.4;1.4;3.6;.7
28/10/2022 00:00;34.4;30.1;26.3;4.8;24.3;71.1;2.4;7.7;5.3
29/10/2022 00:00;32.5;29.8;26.9;4.9;24.7;74.3;1.4;4.1;8.1
30/10/2022 00:00;32.8;30;27.2;6.9;24.9;74.2;1.9;4.1;9.4
31/10/2022 00:00;31.6;29.6;27;.6;25.3;77.9;2.2;5.7;7.7
01/11/2022 00:00;31.4;29.2;26.7;6.4;25.3;79.4;1.8;4.6;8.3
02/11/2022 00:00;32.2;29.3;27.2;3.6;25.4;79.2;2.3;5.1;5.8
03/11/2022 00:00;31.8;29.3;27;4.4;25.4;79.7;1.6;4.1;8.1
04/11/2022 00:00;32.6;29;26.2;1.4;25.2;80.1;1.4;3.6;3.5
05/11/2022 00:00;32.2;28.9;26.4;6.2;24.8;78.9;2;5.1;5.4
06/11/2022 00:00;31;28.3;25.6;5;25.4;84;1.1;3.1;8.1
07/11/2022 00:00;30.4;28;26;3.8;25;83.7;.9;3.6;.2
08/11/2022 00:00;30.4;27.8;26;9999;24.9;84.2;1;3.1;9999
09/11/2022 00:00;31;28.5;26.2;1;24.5;79;1.4;3.6;.9
10/11/2022 00:00;30.2;27.5;26.4;5.6;25.2;87.5;1.8;5.7;.2
11/11/2022 00:00;31.6;28.3;26;1.1;24;77.4;3.2;7.2;.2
12/11/2022 00:00;32.4;27.5;25.2;6.2;24.6;84.3;1.9;4.6;2.1
13/11/2022 00:00;30;27.6;25;3.1;24.6;84.2;1.3;3.6;6.2
14/11/2022 00:00;32.3;29.1;25.4;1.7;25.3;80;1.4;3.6;2.1
15/11/2022 00:00;32.6;29.3;27.1;7.2;25.1;78.1;2.3;6.7;7.8
16/11/2022 00:00;31.6;29;24.6;4.7;25.5;81.5;2.2;4.6;5.6
17/11/2022 00:00;27.6;26.4;25;5.5;24;86.8;1.8;4.1;6.6
18/11/2022 00:00;32;28.3;26.3;4.8;24.2;78.5;2.9;7.2;0
19/11/2022 00:00;32;28.9;26.6;9999;24.8;78.6;4.4;7.7;9999
20/11/2022 00:00;33.9;29.8;26.5;3;24.1;71.5;5;9.3;5.4
21/11/2022 00:00;34;30.1;26.9;7.6;24.5;72;2.8;6.2;7.8
22/11/2022 00:00;34.4;30;27.2;10.2;24.1;70.9;4.1;8.7;7.7
23/11/2022 00:00;32.4;28.7;25.2;5.8;25;80.6;2;4.1;8.7
24/11/2022 00:00;30.4;28.2;26;1.9;24.4;79.7;2.2;6.7;5
25/11/2022 00:00;30.4;28.4;26.4;3.4;24.8;81;1.6;3.6;2.1
26/11/2022 00:00;30.6;26.7;24.8;2.5;24.3;86.9;1.6;3.6;1.2
27/11/2022 00:00;30.4;28.6;25.6;6;25;81.4;1.4;3.6;0
28/11/2022 00:00;31.6;27.7;24.4;5.4;24.7;84.1;1.2;4.1;8.1
29/11/2022 00:00;31.8;29;26.4;4.9;25;79;1.7;5.7;4.8
30/11/2022 00:00;31;28.7;26.2;1.4;25;80.2;1.8;4.1;8.3
01/12/2022 00:00;32.4;29.2;26.8;4.4;24.9;77.4;1.3;3.1;.7
02/12/2022 00:00;30.8;28.6;26.3;4;25.1;81.7;1.5;3.1;7
03/12/2022 00:00;31.8;28.9;26.9;3.4;24.9;79;1.6;5.7;1.5
04/12/2022 00:00;32;29;26.6;5.9;25;79;1.3;3.1;7.8
05/12/2022 00:00;31.7;29;27;4.8;25.3;80.8;1.2;3.6;6.4
06/12/2022 00:00;30.8;28.2;26;1.8;24.9;82.3;.6;4.6;4.2
07/12/2022 00:00;30.4;28.4;26.6;5.2;24.9;81;1.4;3.1;2.4
08/12/2022 00:00;31.9;27.9;25.6;.8;24.9;84.1;1.6;5.1;.2
09/12/2022 00:00;30.4;26.3;24.6;5.1;23.9;86.6;1.9;7.7;2.1
10/12/2022 00:00;32;28.4;25.4;1.4;24.9;81.4;1.9;4.6;3.8
11/12/2022 00:00;31.2;28.7;26;4.4;24;76;4.7;9.3;6.4
12/12/2022 00:00;32.2;28.2;26;5.1;24;78.1;3.1;5.7;5
13/12/2022 00:00;32.6;28.9;27;4;23.8;74.2;4.1;7.2;6.8
14/12/2022 00:00;32.2;29;26.6;3.7;24.9;78.6;2.9;5.1;5.5
15/12/2022 00:00;34.7;30.2;27.4;4.5;24.3;70.6;2.4;5.1;6.3
16/12/2022 00:00;31.9;28.2;25.9;6.1;25;82.8;1.1;4.1;9.2
17/12/2022 00:00;32.4;28.2;26.2;2.4;25.4;85;1.7;4.1;5.3
18/12/2022 00:00;31.6;28.2;26;4.8;25.1;83.4;.9;3.6;6.7
19/12/2022 00:00;32;29.3;26.6;.3;25.3;79.5;1.4;3.6;4.9
20/12/2022 00:00;30.4;28.1;26.3;5;25.1;83.6;2;3.6;8
21/12/2022 00:00;32.2;28.9;26.7;4.3;25;79.5;3;7.7;4.5
22/12/2022 00:00;31;27.3;25;4.5;24.7;85.8;3.1;6.7;7.2
23/12/2022 00:00;29.6;28.2;25.7;4.7;25;83;2.8;5.7;.5
24/12/2022 00:00;29.6;28.2;25.6;2.8;24.9;82.3;3.3;6.2;0
25/12/2022 00:00;28.6;26.6;25.2;.8;24.5;88.6;3;5.7;2.2
26/12/2022 00:00;28.6;26.2;24;6.4;24.1;87.9;3.2;6.7;0
27/12/2022 00:00;29;26.7;24.2;.2;23.9;84.6;2.6;6.2;0
28/12/2022 00:00;29;25.6;23.4;.6;23.5;88.2;2.9;6.2;.5
29/12/2022 00:00;29.8;26.9;24.2;3.3;24.1;84.6;2.1;6.2;.8
30/12/2022 00:00;28.4;26.9;24.6;3.1;24.7;88.2;3.4;7.7;2.4
31/12/2022 00:00;29;26.4;24.3;6.8;23.9;86.4;3.3;8.7;0
01/01/2023 00:00;29.6;26.3;24;4.8;24.4;89.3;2;6.2;1.3
02/01/2023 00:00;29.8;27.4;25.6;0;24.6;85;2.7;4.6;.1
03/01/2023 00:00;28.8;26.6;24.6;3.7;24;85.6;2.4;6.7;1.1
04/01/2023 00:00;30.4;26.8;24.2;2.7;24.4;86.8;1.7;4.6;.1
05/01/2023 00:00;31.4;28.2;24.8;7.3;24.1;78.6;2.7;3.6;3.5
06/01/2023 00:00;33.4;29.7;27.2;4.5;24.2;72.3;3.7;6.2;2.9
07/01/2023 00:00;33.2;29.3;26.4;6;24.8;76.6;3.4;6.7;6.4
08/01/2023 00:00;31.1;28.5;26.6;6.5;24.4;78.2;4;6.7;9.2
09/01/2023 00:00;31.6;29.3;27.2;4.2;25.2;78.6;3.2;5.7;5.3
10/01/2023 00:00;32.4;29.4;26.4;5;23.6;71.1;2.8;6.2;8.4
11/01/2023 00:00;30.8;29;26.4;4.1;23.7;73.5;1.3;3.6;4.8
12/01/2023 00:00;32;29.6;27;3.5;24.4;74;.9;3.1;0
13/01/2023 00:00;32;29.1;27.2;4.4;24.4;75.9;1.2;5.1;8.9
14/01/2023 00:00;32;29.5;26.6;4.9;24.2;73.2;1.6;4.1;6.4
15/01/2023 00:00;32.9;29.6;26.8;3.2;24;71.9;4.3;7.7;8.8
16/01/2023 00:00;31.6;29.1;27.2;6.5;23.8;72.9;2.7;6.2;7.1
17/01/2023 00:00;28.5;27.6;26.2;3.9;24.5;83.5;2.9;5.1;4.4
18/01/2023 00:00;30;28;25.6;3.5;24.6;82;2.4;4.6;.1
19/01/2023 00:00;30.2;27.9;25.8;1.9;24.6;82.2;3.2;5.7;1.8
20/01/2023 00:00;32;28.6;26.4;4;23.9;76.1;1.8;6.2;2.6
21/01/2023 00:00;30.7;28.9;26.4;5.7;24.5;77.2;2.7;5.1;7.9
22/01/2023 00:00;32.2;28.9;26.2;4.2;23.9;74.3;3.9;5.7;8.5
23/01/2023 00:00;31.6;28.8;26.6;4.9;24.2;76.3;4.7;8.7;5.8
24/01/2023 00:00;32.2;29.1;26.2;5.6;24.1;74.6;4.6;7.2;4.6
25/01/2023 00:00;29.2;27.4;25.4;5.8;23.1;77.4;3.5;7.2;7.5
26/01/2023 00:00;30.8;28.1;26;5;24.6;81.2;2.9;7.7;0
27/01/2023 00:00;29;27;24.6;4.3;24.7;87.3;2.1;5.1;4
28/01/2023 00:00;27.4;26.1;24.8;9999;24.5;90.9;2.1;6.7;9999
29/01/2023 00:00;29.3;27.9;26.2;2.1;24.3;81.2;2.9;5.7;0
30/01/2023 00:00;30.5;28.7;26.7;2.8;24.2;76.7;2.2;5.1;.8
31/01/2023 00:00;29.6;28.1;26.6;3.8;24.9;82.8;3;6.2;4.4
01/02/2023 00:00;29.6;27.2;24.4;3.5;25;87.7;1.1;3.6;.2
02/02/2023 00:00;30.6;26.9;23.2;2.8;24.8;88.3;2.1;15.4;1.4
03/02/2023 00:00;29.8;27.4;24;.8;24;81.9;1.4;3.6;.6
04/02/2023 00:00;30.5;28.4;26.6;2;24.7;80.7;3;5.1;0
05/02/2023 00:00;33;29.5;27;4.3;23.6;70.8;3.9;5.7;3.5
06/02/2023 00:00;32.1;29.4;26.8;4;24;72.6;3.6;8.2;7.9
07/02/2023 00:00;30;27.6;24.6;7;24.6;83.8;1.9;4.1;5.6
08/02/2023 00:00;30.6;28;25.4;5.8;24.2;80;2.4;5.1;.9
09/02/2023 00:00;30.4;27.2;24.2;1.4;23.4;79.5;4.4;8.7;2.1
10/02/2023 00:00;31.4;28.5;26;10.8;24.6;79.4;2;5.7;3
11/02/2023 00:00;29.7;27.1;24;0;24.7;86.7;2.6;4.6;7.5
12/02/2023 00:00;28;25.9;24.2;6.9;23.3;85.5;3;5.7;2.2
13/02/2023 00:00;30.8;27.8;25.8;1.5;23.9;79.5;3.1;7.2;0
14/02/2023 00:00;31.2;28.1;25.2;1.2;23.3;75.4;4.3;7.2;1.2
15/02/2023 00:00;31.8;28;26.4;3.7;23.9;78.1;4.1;8.2;2.4
16/02/2023 00:00;30.2;27;25.4;5.3;24.1;84.4;3.1;6.2;3.6
17/02/2023 00:00;29;27.6;25.7;4.5;24.4;82.6;1.5;5.1;2.7
18/02/2023 00:00;30.6;28.1;26;2.2;25.2;84.3;1.7;4.1;2.1
19/02/2023 00:00;30.4;28.2;26.4;4.1;24.9;82.5;2.7;6.7;7.3
20/02/2023 00:00;30.8;28.2;26;5.4;24.5;80.4;3.5;7.2;7.8
21/02/2023 00:00;30.4;27.2;25.2;4.3;24.5;85.3;3;5.7;6.6
22/02/2023 00:00;30.5;27.5;24.4;2.7;24.6;84.4;2.3;6.7;5.8
23/02/2023 00:00;30;27.1;24.8;2;24.7;86.7;2.7;10.3;5
24/02/2023 00:00;28;26;24.2;4;24.6;92.4;1.9;5.1;3.1
25/02/2023 00:00;29.2;27;25;11.8;24.6;86.7;3.9;7.2;0
26/02/2023 00:00;29.2;27;25.2;6;25;88.8;3.7;12.9;.7
27/02/2023 00:00;29.2;27.4;25;2.6;24.8;85.7;4.3;7.2;.4
28/02/2023 00:00;30.2;27.3;25;3.9;24.6;85.7;3.4;7.7;1.1
01/03/2023 00:00;29.4;25.9;24.4;6.5;24.3;91;2.4;5.1;5.3
02/03/2023 00:00;26.2;25.5;24;2.4;23.9;90.7;2.1;3.6;2.4
03/03/2023 00:00;31;27.4;25.2;8.4;24.4;83.8;1.2;4.6;0
04/03/2023 00:00;29.1;27.2;25.4;3.2;24.4;84.7;2.7;6.7;5.5
05/03/2023 00:00;29.8;27.5;25;2.6;24.7;85.2;2.6;4.6;1.4
06/03/2023 00:00;32;28.8;25.8;1.9;24.1;75.8;3.8;6.7;4.7
07/03/2023 00:00;31.2;28.2;25.8;5;24.8;81.9;2.1;4.6;7.4
08/03/2023 00:00;28.7;26.8;24.2;9.8;24.6;87.6;1.7;5.7;9.1
09/03/2023 00:00;30.2;27.6;25;3.6;25;85.7;1.1;5.7;2.2
10/03/2023 00:00;31.4;28.2;26;5.5;25;82.9;1.7;6.2;7.6
11/03/2023 00:00;31.6;29.1;26.2;6;25.7;82;1.3;4.1;9.2
12/03/2023 00:00;30.6;28.3;26.3;4;24.7;80.9;1.7;4.1;8.2
13/03/2023 00:00;31.4;28.7;26.2;3;25.1;80.6;2;6.2;4.3
14/03/2023 00:00;28.1;26.9;24.2;9999;24.6;87.1;2.7;4.6;9999
15/03/2023 00:00;26.6;25.7;24;6.4;24.4;92.3;.4;2.6;0
16/03/2023 00:00;30.8;28.6;25.2;7.1;25.4;82.8;.9;4.6;0
17/03/2023 00:00;31.4;28.9;26.4;4.8;24.9;79;1.3;3.6;9.6
18/03/2023 00:00;32;29.3;26.4;3.3;25.2;78.9;1.9;5.7;9.5
19/03/2023 00:00;31.6;29.1;26.6;7.9;25.6;81.3;1.1;3.1;8.8
20/03/2023 00:00;32.4;28.7;26.2;4;25.2;81.3;1.7;4.6;7.1
21/03/2023 00:00;31.9;29.7;26.8;1.9;25.5;78.1;1.4;4.1;7.8
22/03/2023 00:00;32.2;29.9;27.4;7.6;25.6;77.8;1.4;4.6;9.1
23/03/2023 00:00;32.3;29.9;28;4.1;25.9;79.3;1.5;5.1;8.1
24/03/2023 00:00;32.4;30;27.8;3.3;25.8;78.3;.9;3.6;8
25/03/2023 00:00;32;28;25.2;6.7;25.3;85.7;2.7;8.7;7.7
26/03/2023 00:00;31.3;28.3;25.6;4;24.9;81.7;2.1;6.2;3
27/03/2023 00:00;31.6;28.4;26.6;3.9;25.6;84.4;1.1;3.6;6.7
28/03/2023 00:00;29.4;27.6;26.2;4.4;25.5;88.2;.6;3.6;4.7
29/03/2023 00:00;31;27.6;26;2.7;24.8;84.7;1.1;4.1;0
30/03/2023 00:00;31.6;28.3;26.2;3.7;25.5;84.6;1.9;4.6;5.2
31/03/2023 00:00;32.2;29.1;26.4;1.9;24.6;77.1;3.9;6.7;5.9
01/04/2023 00:00;31;28.1;26.4;4.8;24.1;78.8;3.5;7.7;4.2
02/04/2023 00:00;31.4;28.6;25.8;4.5;25.1;81.3;2.1;6.7;1.8
03/04/2023 00:00;31.4;28.8;26.2;4.5;24.5;77.7;3.3;5.7;8.1
04/04/2023 00:00;32.4;29;26.4;4;25.1;79.3;2.8;4.1;7.4
05/04/2023 00:00;32.4;29.5;26.2;1.9;24.2;73.3;2.1;5.7;3.7
06/04/2023 00:00;32.8;29.8;27;5.6;24.2;72.2;1.7;5.1;8.8
07/04/2023 00:00;32.5;29.8;27;6.1;24.3;72.5;1.6;4.1;4.8
08/04/2023 00:00;32.4;29.7;27.2;5.1;24.7;74.6;.9;4.6;8.1
09/04/2023 00:00;31.8;29.4;27.2;5.9;24.9;77;2.6;4.6;9.1
10/04/2023 00:00;32.2;28.7;25.4;4.1;24;75.8;4.4;5.7;6.6
11/04/2023 00:00;31.5;29.1;27.4;4.2;24.1;74.3;6.2;9.8;5.6
12/04/2023 00:00;33.8;29.4;26.6;4.1;24.2;73.7;3.8;10.3;5.7
13/04/2023 00:00;34.5;29.9;26.8;5.9;24.2;71.6;3;5.7;6.9
14/04/2023 00:00;32.5;28.7;26.6;5.1;24.9;80.1;1.8;5.1;6.4
15/04/2023 00:00;31.8;29.6;26.8;6;25.2;77.4;1.6;3.6;7.7
16/04/2023 00:00;31;28.4;26.2;4.5;25.2;82.6;2.3;4.1;9
17/04/2023 00:00;32.4;30;26.8;7.8;25.5;76.7;2.1;4.6;5.4
18/04/2023 00:00;32.6;29.3;26;3;25.6;80.1;1.7;4.6;9
19/04/2023 00:00;33.2;29.5;27.4;5;25;77;2.2;6.2;2.8
20/04/2023 00:00;32.6;29.7;27.2;7;25.3;77.6;1.2;5.1;8.1
21/04/2023 00:00;32.4;29.7;27.4;3.8;25;75.8;2.4;5.1;6.9
22/04/2023 00:00;33.6;30.8;27.8;3.3;25.9;75.3;3.1;5.7;8.7
23/04/2023 00:00;33.5;30.2;27.8;5.2;25.3;75.2;2.1;5.7;8.7
24/04/2023 00:00;33.3;29.4;26.2;6.5;25.1;77.7;2.4;5.7;7.3
25/04/2023 00:00;32;29.4;27.2;9.4;24.9;76.8;1.7;4.6;9
26/04/2023 00:00;32.8;29.5;27.5;3.4;25.2;77.8;1.7;5.1;3.5
27/04/2023 00:00;32.4;29.8;27;3.9;25.5;77.7;2;4.1;7.8
28/04/2023 00:00;32.2;29.8;27.2;11.7;25.9;79.8;1.2;5.1;8.3
29/04/2023 00:00;32;30;27.2;2.2;25.6;77.3;1.1;3.6;8.6
30/04/2023 00:00;32.4;30.1;27.8;1.6;25.7;77.3;1.3;4.6;4.8
01/05/2023 00:00;31.4;29.3;27.5;5.8;25.8;81.6;1.1;3.1;6.7
02/05/2023 00:00;31.8;30;28;3;26.1;79.7;1.9;4.6;3.6
03/05/2023 00:00;32.6;29.6;26.8;4.7;25.8;80.2;1.6;4.1;.9
04/05/2023 00:00;32.8;29.6;27.2;7;25.6;79.1;1.7;5.1;7.3
05/05/2023 00:00;33;29;26.2;5.3;25.4;81;2.5;4.6;8.6
06/05/2023 00:00;32;29.6;26.6;13.8;25.8;79.7;.7;3.1;8.2
07/05/2023 00:00;32.4;28.9;26.8;4.6;25.3;80.8;.7;3.1;3.7
08/05/2023 00:00;32.6;29.4;27.3;1.3;24.8;76.3;1.2;4.1;5
09/05/2023 00:00;33.4;30.7;27.7;4.2;25.9;75.7;1.8;4.6;6.3
10/05/2023 00:00;34.1;30.8;28.6;6.5;26.1;76.3;3.1;5.7;6.4
11/05/2023 00:00;31.7;29.3;28;5.3;25;77.9;5.3;8.7;6.1
12/05/2023 00:00;34.4;31;28.4;1.5;26;75;3.6;7.7;2.5
13/05/2023 00:00;33;29.5;26.8;4.9;25.6;79.5;2;5.1;9.2
14/05/2023 00:00;33;29.9;27;5.6;24.3;71.8;1.3;4.1;8.9
15/05/2023 00:00;32.4;29.9;27;6.2;24.7;74.1;1.2;3.1;8.3
16/05/2023 00:00;33;30.2;27.6;3.8;24.6;72.1;2.1;4.6;8.6
17/05/2023 00:00;32.6;30.2;27.8;4.8;24.2;70.6;2.9;4.6;8.9
18/05/2023 00:00;30.9;29.1;27.4;2.3;24.9;78;2.3;3.6;8.3
19/05/2023 00:00;32.4;30.1;27.4;3.4;25.2;75.1;2.2;4.6;0
20/05/2023 00:00;32.4;29.9;27.8;4.4;25.6;77.8;2.5;6.2;5.3
