Tanggal,Mataram,Jerowaru,Pemenang,Praya Barat Daya,Praya,Sekarbela,Santong,Sembalun
01/03/2023,5.4,3,0,6.2,9.6,0.8,128.4,18.4
01/04/2023,1.4,0,0,0,0.2,1.6,0,0.2
01/05/2023,0,0,0,8.2,6,0,0,0
01/06/2023,17.8,6,0,22.2,22.4,11.4,5.2,0.2
01/07/2023,1.4,5.8,0,1.6,1.4,2.2,0.4,0.2
01/08/2023,2.6,1.4,0,1.8,1.2,0.4,0,0
01/09/2023,1.6,0,0,0.2,0,9.8,0,0
01/10/2023,0,0,0,0,0,0,0,0
01/11/2023,0,0,0,0,8.6,0,0,0
01/12/2023,4.4,0,0,0.4,1.2,1,0.2,0
01/13/2023,0,0,0.2,0,15.4,0.2,0,1.8
01/14/2023,16,3.4,0,0,0,0,0,1.4
01/15/2023,3,0,0.1,0.4,3,4.6,0.6,0.2
01/16/2023,0,0,0,0,0.2,0,4.6,0.6
01/17/2023,2.6,0,0,0,0,9,12.2,0.4
01/18/2023,22.6,3.4,1,49.4,6,14.6,0,0
01/19/2023,0.2,0,0,0,0,0,0.6,0
01/20/2023,0,0,0,0,0,0.2,0,0
01/21/2023,0.4,1,0,2.8,0,0,0,0
01/22/2023,0,0,0,0,0.2,0,0,0
01/23/2023,0,0,0,0,15.2,0,0,0
01/24/2023,0,0,0,0.2,0,0,0,0
01/25/2023,0,0,0,0,0,0,0,0
01/26/2023,8,0.6,18.2,18,6.6,1.8,9.6,0.4
01/27/2023,1,1.2,0.3,0.4,4.8,10.6,19,5.4
01/28/2023,35.8,2.2,4.4,15.2,3.8,34.6,1.6,9.8
01/29/2023,41.8,1,7.4,31.2,20.2,49.2,0.4,0.6
01/30/2023,32,14.6,10.5,19,23.2,13.8,0,0
01/31/2023,0,0.2,0,0,0.4,3.4,1.6,9.4
02/01/2023,0.2,0.4,1,0.4,1.6,25.6,2.4,42
02/02/2023,3.4,0,0,1.2,4.2,3,6.2,7.8
02/03/2023,0.8,0,9.4,0.4,0,0.4,38.2,3.6
02/04/2023,0.2,0,0.2,1,0.6,1.4,0,0.6
02/05/2023,49.4,26,19.9,25.2,9.6,25,61.2,36.2
02/06/2023,17.8,10.2,7.5,21.2,20,16,8,1
02/07/2023,8.8,4.6,2.7,13.2,7.4,5.4,1.4,0.4
02/08/2023,9.8,4.6,24.5,6,8.4,7.6,212.2,110.2
02/09/2023,17.6,0,54,15.4,6.2,9.6,68.8,20.6
02/10/2023,0,0,0.2,0,0,0,0,0
02/11/2023,16,42.8,26.4,0,0,4.8,97.2,24.2
02/12/2023,2.2,0.2,0.7,0.4,0,0,0,0
02/13/2023,54.8,26.2,20.9,74.2,56.6,34.2,21.2,5
02/14/2023,6.4,1.2,0,0.2,1,20.4,0.2,0
02/15/2023,13.4,29.6,2,35.8,4,20.6,0,0.4
02/16/2023,0,0.8,,,0,0,0,2.6
02/18/2023,0.4,0,0,0.2,1,1.2,0,0
02/19/2023,0,0,0,0,0,0,0,0
02/20/2023,0,0,0,0,0,0,0,2.8
02/21/2023,0,0.4,0,0,0,0,0,77.2
02/22/2023,0,0,0,0,0,0,0,68.4
02/24/2023,,0.8,,,,,,
02/25/2023,5.2,2.4,23.4,3.6,1,5,10.6,0
02/26/2023,0,0,0,0.6,0.4,1,0,0
02/27/2023,13.8,0.6,21.4,24.4,13.4,0,1.4,0.6
02/28/2023,0,1.4,,,,,1.2,22.4
03/01/2023,0,4.2,0.3,1.4,0,0,0.6,0
03/02/2023,0,4,8.1,0.2,0,0,17.4,0
03/03/2023,0,0,16.4,0,0,0,30.8,6.4
03/04/2023,0,0,0,0,0,0,0,0
03/05/2023,0,0,0,0,0,0,0,0
03/06/2023,0,26.2,0,0,0,1.6,0,0
03/07/2023,97.2,29.8,9.4,53.2,20,6.4,4.4,42.4
03/08/2023,5.8,0.6,0,30,23,1.6,61,0.2
03/09/2023,0,0,0,0.2,0.4,0,0.2,2.4
03/10/2023,1.6,0.2,2,13.4,35.6,,3.2,1.6
03/11/2023,0.2,0,0,0,0,,1.2,0.2
03/12/2023,0,0,0,0,0,,0,0
03/13/2023,0,0,0,0,0,0,0,0
03/14/2023,0,0,0,8.4,21.2,0,0,1.8
03/15/2023,2.4,2,0,,57.2,0,2.6,0
03/16/2023,0,0,0,0,6.8,0,0,0
03/17/2023,6.8,0,18.4,4,8.4,47.8,5.4,0
03/18/2023,34.2,4.8,7.8,23.4,0.2,14.6,22.8,1
03/19/2023,0,0.2,0.1,6.8,51,0,0.6,0.2
03/20/2023,0.2,0,4.6,6.8,0.2,,1.4,0
03/21/2023,17.6,0,9.4,0,3,0,15.6,6.4
03/22/2023,0,0,0,90.6,0.2,0,0.2,0
03/23/2023,0,0,0,48.6,19.8,9.8,0,1
03/24/2023,0,0,0,1.2,17.6,0,28.6,0
03/25/2023,0,0,0,0.2,0,0,2.6,0
03/26/2023,0,0,0,0,0,0,0,0
03/27/2023,0.2,0,5.1,2.6,46.8,0,0.4,13.4
03/28/2023,0,17.4,9.6,0,2.4,0,0.2,7.4
03/29/2023,20.2,1.4,0.5,0,19,0,1,24.2
03/30/2023,1.6,0,0.1,0.8,5.4,0,0.2,0
03/31/2023,0,0,0.3,0,0,,0,0
04/01/2023,0.2,0,0,0,0,,0,0
04/02/2023,0,0,0,0,0,,0,0
04/05/2023,7.8,0,3,0,3,0.8,0,23.4
04/06/2023,5.4,0,0.4,1,13.8,0,1.2,6.8
04/07/2023,9.2,5.4,44.7,34.2,4,1.8,35.4,118.8
04/08/2023,6,0,2.6,0,0,0,1.4,2.2
04/09/2023,20.8,1.4,7.8,6,10.2,30.6,0,6
04/11/2023,0,7.6,0,12.2,1.6,0,0.4,6.6
04/12/2023,5.6,20,55.6,2,2,0.8,0,19
04/13/2023,2.8,0.2,0,2,0,2.6,0,2
04/14/2023,12,0,47.7,2.2,0.6,0.8,39.2,0.4
04/15/2023,0,0,0,0,0,0,0,0
04/16/2023,0,0,0,0,0,0,0,0
04/17/2023,0,0,0,0,0,0,0,0.2
04/19/2023,0,0,0,0,0,0,0,0
04/20/2023,4.2,0,13.7,0,0,0,0.2,1.4
04/21/2023,1,0,9,0,0,0,0,0
04/22/2023,0,0,,,,,0,0
04/23/2023,0,0,0,0,0,0,0,0
04/24/2023,0,0,0,0,0,1.6,0,0.2
04/25/2023,0,0,0,0,0,0,0,0
04/26/2023,11.8,0,35.8,10.8,0,0.2,0,0
04/27/2023,1,0,2.7,0,0,1.4,1.4,0.2
04/28/2023,0,0,1.5,0,0,0,18.4,0
04/29/2023,0.6,0,0,15.4,1,1.8,2.6,2
04/30/2023,26.8,0,0.1,11.4,1,1.8,0,0.4
05/01/2023,8,0,9.3,0,0,0.4,0,0
05/02/2023,0,0,0.2,0,0.6,0,0,0
05/03/2023,0,0,0,43,12,0,0,0
05/04/2023,0,0,0,2,1,0,0,0
05/05/2023,0,0,0,0,0.8,0,0,0
05/06/2023,0,0,0,0,0,0,0,0
05/07/2023,0,0,0,0,0,0,0,0
05/08/2023,0,0,0,0,0,0,0,0
05/09/2023,0.8,0,0,0,0,0.2,0,0
05/10/2023,12,0,16.3,2.6,0.2,13.8,0,0.2
05/11/2023,0,0,0,0,0,0,0,0
05/12/2023,60.4,0,0,0,0,7.6,0,0
05/13/2023,0,0,0,0,0,0.2,0,0
05/14/2023,0,0,0,0,0,0,0,0
05/15/2023,0,0,0,0,0,0,0,0
05/16/2023,0,0,0,0,0,0,0,0
05/17/2023,0,0,0,0,0,0,0,0
05/18/2023,0,0,0,0,0,0,0,0
05/19/2023,0,0,0,0,0,0,0,0
05/21/2023,0,0,0,0,0,0,0,0
05/22/2023,0,0,0,0,0,0,0,0
05/23/2023,8,0,0,0,0,0,0,0
05/24/2023,0,0,0,0,0,0,0,0
