Tanggal,Mataram,Jerowaru,Pemenang,Praya Barat Daya,Praya,Sekarbela,Santong,Sembalun
12/22/2021,0,0,0,0,,0,0,0
12/23/2021,0,0,0,0,,0,0,0
12/24/2021,0,0,0,0,0,0,0,0
12/25/2021,0,0,0,0,0,0,0,0
12/26/2021,0,0,0,0,0,0,0,0.2
12/27/2021,0,0,0,0,0,0,0,
12/28/2021,0,1,0,0,0,0,0,0
12/29/2021,0,1.6,0,0.8,0,0,2,0.8
12/30/2021,0,4.2,0,0,0,0,0,6
12/31/2021,2.8,5.2,0,0.4,0,0.8,5,9.8
01/01/2022,3.8,20.2,0,18.8,0,3.6,4.4,6.8
01/02/2022,0,0,0,0.2,0,0,16,63.8
01/03/2022,1.2,13.2,0,0,0,2.8,0,26.2
01/04/2022,4.8,0,0,0.6,0,6,0,8.4
01/05/2022,0.2,10.4,0,2.2,0,0,0.2,0.8
01/06/2022,0,0,0,0.2,,0,0,30.2
01/07/2022,0.8,0,0,0,,4,0,15.4
01/08/2022,0.2,15.8,0,0,,0,0,41.4
01/09/2022,0,0,0,0,0,0,0,8.2
01/10/2022,12,5,0,4.8,0,11.4,1,59.8
01/11/2022,0,22,0,0,,0,2.6,0
01/12/2022,3.4,0,0,0,,0,2.4,22.2
01/13/2022,0.4,1.2,0,6.8,,0.2,35.6,5.8
01/14/2022,0,0,0,0.4,,1.6,0,3
01/15/2022,16.6,3.6,0,15.8,0,0,112,13
01/16/2022,72.4,23.8,0,598.8,0,150.2,1096.8,32
01/17/2022,11,0.2,0,0,0,8.2,22.8,26.2
01/18/2022,36.8,17.2,0,37.8,0,44.8,51.8,37
01/19/2022,7.2,11,0,10,0,13.2,17.6,0.2
01/20/2022,2.2,6.4,0,9,0,22.2,3.2,2.2
01/21/2022,1.4,0,0,36.2,0,2.8,0,35.4
01/22/2022,0,2.6,0,0,0,0,0,0.4
01/23/2022,0,2.4,0,0.4,0,0,0,0
01/24/2022,0,0,0,0,0,0,0,0
01/25/2022,0,0.4,0,0,0,0,0,0
