rr,ws_avg,ws_max,wd_avg,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,sr_avg,tt_sea,wl_pan,ev_pan
60.4,1.76,8.1,204.09,30,25.67,23.5,86.9,1012.8,210.41,27.58,27.58,0.1
1.6,1.5,6.3,232.27,29.5,26.5,24.1,83.59,1012.95,129.79,28.84,28.84,0.1
74.8,2.15,8.3,166.82,30.2,26.24,23.8,85.69,1012.31,297.8,28.51,28.51,0.24
29.4,2.53,8.9,160.91,28.5,25.96,24.2,89.63,1010.77,320.11,26.66,26.66,0.03
41,1.88,7.8,215,30.8,26.61,23.3,84.31,1011.09,210.25,28.71,28.71,0.07
0.6,2.68,9,123.64,30.8,28.08,24.3,77.7,1013.63,398.76,29.79,29.79,0.07
0,3.35,8.7,130.71,30.8,28.89,25.9,73.69,1014.01,563.25,346.18,346.18,0.08
59,3.8,11.3,125,29.3,26.48,24,83.53,1012.48,636.78,27.34,27.34,0.08
8,3.45,9.4,118.64,29.8,27.52,24.2,80.44,1011.43,566.36,28.13,28.13,0.03
3.4,3,8.1,130.45,30.5,28.09,25.5,75.38,1011.68,502.48,29.41,29.41,0.08
0,3.28,8.4,128.18,30.5,28.14,25.7,75.4,1012.04,575.27,29.55,29.55,0.02
0,4.01,9.1,136.82,30.3,27.88,26.3,74.51,1012.52,701.12,29.1,29.1,0.03
54.2,3.19,10.1,117.27,29.1,26.32,24,83.05,1011.88,508.17,26.4,26.4,0.17
38.4,2.96,8.8,117.27,30.1,26.89,24.8,83.31,1011.83,438.45,28.18,28.18,0.05
2.8,3.29,9.3,110,29.9,27.34,25.3,81.01,1011.15,534.39,28.5,28.5,0.05
60.8,2.51,7.9,175,30.2,26.73,24.2,85.36,1011,360.58,284.71,284.71,0.03
6.4,3.14,8.5,125.91,30,27.67,24.7,81.45,1011.13,491.5,29.42,29.42,0.08
0.4,3.56,8.7,119.55,30.5,27.8,25.8,79.25,1011.46,632.89,29.25,29.25,0.1
3.4,3.41,9.1,110,30.1,27.19,24.7,79.51,1011.24,575.92,28.21,28.21,0.13
0,2.97,8.3,130,29.8,27.35,25.4,74.64,1009.83,494.77,29.25,29.25,2.21
0,2.96,8.1,126.5,29.7,27.56,25.3,73.74,1009.17,502.99,27.75,27.75,0.14
1.8,2.97,7.5,124,29.9,27.46,25.9,76.86,1010.14,498.91,28.24,28.24,0.15
16.8,2.5,7.3,130.91,29.2,26.25,25,87.55,1010.8,313.56,27.3,27.3,0.33
17,2.32,7.9,159.55,29.7,27.18,25.1,84.26,1010.27,334.45,29.02,29.02,0.08
9.2,1.8,7.9,228.64,30,25.97,23.8,85.43,1009.77,218.21,28.77,28.77,0.14
3.8,2.14,7.2,112.27,29.4,26.92,24.5,83.29,1010.16,301.96,29.38,29.38,0
12,1.95,7.2,133.18,29.9,26.92,24.1,82.03,1010.3,234.89,29.15,29.15,0
11.2,1.95,5.7,105,29.1,26.74,24,82.05,1010.99,192.4,28.25,28.25,0.05
12.4,2.25,9.3,180.45,27.3,25.6,24.3,88.37,1011.31,302.09,25.76,25.76,0
107.8,2.21,8.3,150.91,29.4,26.24,24,88.23,1011.24,254.5,27.81,27.81,0
8.6,1.21,4.9,166.82,28.4,25.82,23.9,87.99,1011.74,67.82,28.18,28.18,0.27
15.6,1.32,6.7,186.82,28.9,26.13,23.8,86.25,1012.05,92.87,27.83,27.83,0.1
2.4,1.51,6.9,157.73,30.1,27.07,24.2,83.55,1012.09,149.09,30.14,30.14,0.1
8,1.3,8.3,200.95,27.9,25.77,24.4,88.71,1011.66,108.27,27.27,27.27,0.18
1.4,2.86,8.1,153.81,28.8,26.6,25,83.02,1011.59,388.43,27.55,27.55,0.04
9.4,2.02,6.4,141.43,27.7,26.14,24,82.46,1010.64,211.58,26.04,26.04,0.09
0.4,1.37,5,144,27,25.98,25,85.35,1009.37,129.31,26.74,26.74,0.09
0.2,1.56,5.8,145.91,29,26.5,24.4,82.42,1010.41,168.76,27.67,27.67,0.09
0,2.87,7.7,154.09,29.7,27.63,25,78.9,1012.04,368.72,29.02,29.02,0.03
0.8,1.96,7.4,135.5,30,26.74,24.4,80.86,1011.33,237.85,28.56,28.56,0.01
0.2,1.6,6.7,184.09,28.8,26.77,24.9,82.6,1010.22,168.92,27.75,27.75,0.1
8.8,1.43,5.8,215.26,27.5,25.34,23.8,89.3,1010.92,126.79,26.67,26.67,
5,1.64,5.8,186.47,29.3,26.74,24,84.58,1011.02,195.91,29.21,29.21,
2.2,1.33,5.5,167.5,28.6,25.92,24.5,88.62,1011.87,107.08,27.2,27.2,
0,1.81,6.5,201.43,31.6,28.27,25,78.91,1011.25,178.4,31.23,31.23,0.03
0.2,1.88,10.1,247.73,31.5,28.43,25.6,78.28,1011.03,202.64,30.8,30.8,0.07
15.6,1.53,8.8,220.45,30.4,26.16,24.4,86.76,1011.32,157.86,27.05,27.05,0.03
12.8,2.05,6.9,189.55,29.4,26.29,23.6,85.53,1011.23,198.7,27.91,27.91,0.13
4.2,1.62,6,184.29,28.8,25.77,24,84.1,1010.85,141.71,27.77,27.77,0
0,1.45,12.6,226.67,29.3,26.28,23,75.24,1009.84,166.58,28.17,28.17,0.03
0.6,1.99,7.1,137.27,30,27.11,24.4,71.37,1009.32,260.13,29.25,29.25,0.1
4.8,1.9,6.7,176.82,28.6,26.35,24,75.25,1009.67,210.23,27.51,27.51,0.16
2.2,2.1,6.5,128.64,29.2,26.35,24.1,76.36,1010.02,263.3,27.73,27.73,0.02
26,2.47,7.8,148.64,29.8,27.1,23.9,77.44,1010.4,354.67,29.36,29.36,0.08
192,1.77,7.7,169.09,27.5,24.88,23.3,91.72,1011.09,189.7,26.74,26.74,0.1
8,1.84,6.5,157.62,29.6,27.04,24,84.35,1010.36,234.62,29.05,29.05,0.08
39.4,1.89,8.7,181.43,30.5,26.55,23.6,85.2,1011.2,281.17,29.01,29.01,0.07
0.2,1.48,5.5,184.21,30.1,27.36,24.3,82.29,1012.32,183.33,29.22,29.22,0.03
64.8,1.98,9.8,195,30.9,27.11,23.6,84.22,1012.27,291.9,29.85,29.85,0.03
0.4,1.23,4.8,173.64,30,26.77,23.8,83.87,1011.88,90.48,28.58,28.58,0.08
13,1.77,7.3,227,30.9,26.88,24,82.67,1011.28,198.52,29.42,29.42,0.1
2.2,1.55,7.2,223,30.7,26.8,24.6,84.42,1010.69,182.18,30.01,30.01,0.2
0,1.47,5.9,255,30.1,26.93,24.4,84.22,1010.4,115,28.49,28.49,
13,1.96,8.6,259.44,31.9,27.58,24.2,80.65,1009.71,228.46,30.07,30.07,
13.2,1.66,8.9,258.1,29.7,26.01,24.1,88.52,1009.45,144.54,27.15,27.15,0
5.2,1.39,5.2,259.38,29.6,26.99,24.6,85.18,1008.74,91.61,28.8,28.8,0
19.2,1.89,7.9,210,30.6,27.19,24.5,84.91,1008.95,218.99,29.95,29.95,0.18
5.8,1.53,6.4,197.33,31.1,27.57,24.9,83.97,1008.74,147.79,141.91,141.91,0
14.4,1.31,8.9,225.24,31.4,26.9,24.6,86.22,1007.99,130.08,29.67,29.67,0.05
1.8,1.38,5.5,182.38,31.3,27.97,25.4,81,1007.7,161.78,30.3,30.3,0.13
34,1.62,6.6,142,30.3,27.27,25,84.5,1008.03,202.09,24.83,24.83,
8.4,1.36,6.2,244,31.6,27.13,23.1,81.4,1007.93,127.29,69.07,69.07,0.15
2.4,2.49,8.4,266,30.9,27.67,24.3,78.86,1007.05,304.82,28.22,28.22,0
6,1.5,6.6,238.57,29.9,27.46,24.5,78.24,1008.79,129.1,26.53,26.53,0.2
1.6,1.19,4.4,286.36,25.5,24.19,23.9,90.82,1010.59,37.12,25.52,25.52,0
32,1.71,7.5,206.25,29.9,24.82,22.9,88.21,1010.82,184.14,26.81,26.81,0
55.6,1.46,5.9,198.89,30.5,26.86,24.1,84.08,1010.87,88.44,26.43,26.43,0.01
107.6,1.24,5.7,162.86,28,25.03,23.5,89.14,1010.91,62.19,26.2,26.2,0.02
1.4,1.46,6,184.74,30.3,26.61,24.1,81.71,1009.61,128.91,29.01,29.01,0.21
1.4,1.41,6.1,234.67,28.1,25.65,23.9,87.57,1010.17,95.34,94.59,94.59,0.06
8.6,1.19,5.9,199.38,28.7,26.08,24.1,84.12,1010.24,80.27,26.94,26.94,0.07
0.4,1.22,4.6,230.83,27.8,26.04,24.6,86.53,1008.61,99.35,27.37,27.37,0
231.8,0.98,5.7,204,27.9,25.16,23.7,90.18,1008.24,20.46,622.44,622.44,0
15,1.93,4.5,123.33,29.7,27.7,24.7,77.1,1009.3,237.93,226.22,226.22,0.1
15.2,1.55,5.7,240,30.2,27.65,25.1,82.25,1008.53,116.5,15.7,15.7,0.1
13.8,0.65,3.8,243.33,27.7,25.83,24.4,89.15,1008.2,0.35,13.88,13.88,0
8.4,1.4,5.8,273.33,31.3,27.08,24.8,83.47,1008.83,150.93,200.84,200.84,0.2
9,1.65,5.7,195,31,28.28,25,78.54,1008.35,168.4,22.19,22.19,0
