rr,ws_avg,ws_max,wd_avg,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,sr_avg,tt_sea,wl_pan,ev_pan
1,2.02,10.3,269.13,32.8,28.44,24.8,74.55,1007.14,308.4,29.44,29.44,0.07
0,1.83,6.5,277.39,31.3,27.7,25.1,78.93,1006.35,211.65,28,28,0.04
39.8,1.1,7.6,223.64,31.6,25.96,24.1,86.75,1007.21,82.29,26.53,26.53,0.07
0,1.46,5.9,186.19,30.9,28.03,24.4,77.7,1009.4,158.12,29.86,29.86,0.12
180.2,1.07,7.9,219.05,27.9,25.43,24.4,91.35,1009.53,39.68,26.05,26.05,0
10.4,1.53,6.4,194.29,30.8,27.44,24.7,82.14,1006.83,188.53,30.37,30.37,0
2.2,1.19,7.4,226.67,31.7,26.95,24.7,84.79,1007.33,131.8,29.2,29.2,
0,1.34,5.1,284.09,30.2,27.31,24.9,80.04,1009.1,148.26,28,28,
29.6,1.52,7.1,258.26,32.4,27.39,24.5,80.27,1009.84,153.92,28.88,28.88,0.12
11.6,1.37,6.3,225.45,32.2,27.35,24.4,80.19,1009.73,125.73,29.33,29.33,0.16
0,1.67,5.9,257.73,31.2,27.75,24.3,79.05,1009.7,136.13,29.45,29.45,0.15
3.4,1.04,4.9,272.38,27.7,26.29,24.7,85.51,1010.8,36.84,26.93,26.93,0.07
0,1.78,9.4,266.5,31.1,27.9,24.2,78.63,1010.74,232.44,29.42,29.42,0.08
0,2.02,8.3,258.18,32.5,28.82,24.9,71.47,1010.53,310.52,30.11,30.11,0.11
0,2,10,291.82,32.2,28.02,24.7,73,1010.02,325.76,28.83,28.83,0.1
0,2.07,13.2,247.73,32.3,27.17,23.9,77.02,1009.6,390.63,28.18,28.18,0.05
0.2,1.95,8.9,283.64,32.5,27.78,24.2,75.93,1008.38,282.45,28.91,28.91,0.16
0.2,2.49,9.1,256.82,31.6,27.51,24.6,76.97,1008.5,393.77,28.12,28.12,0.16
4.4,3.29,12.5,270.45,33.4,28.53,25.3,75.2,1008.61,589.77,29.99,29.99,0.1
3,2.31,12.6,265,32.3,27.16,23.9,78.5,1008.8,373.26,28.71,28.71,0.18
2,1.75,7.7,270.91,31.3,28.04,24.5,79.69,1009.26,212.89,29.7,29.7,0.16
0.8,1.49,7.8,220.45,30.5,28.14,26,77.9,1009.83,181.67,29.24,29.24,0.15
17.2,1.25,9.1,204.55,29.8,26.37,24.1,86.28,1010.02,115.67,27.7,27.7,0.19
22.8,2,8.1,218.33,31.8,27.46,24.5,81.23,1009.44,290.27,29.17,29.17,0.12
11.2,1.56,7.2,213.64,30.3,26.55,24.7,87.55,1009.31,156.47,28.04,28.04,0.05
25.2,1.67,7.5,255.91,31.2,28.37,25,80.76,1008.56,205.58,30.6,30.6,0.2
20.8,1.23,4.6,263.75,30.8,27.16,24.4,84.06,1008.31,78.01,28.5,28.5,0.16
0.4,1.26,4.8,220.48,30.6,27.4,24.5,81.11,1007.59,113.14,29.33,29.33,0.13
0.4,1.78,7.6,279.52,32.2,28.11,25.4,78.89,1006.17,208.08,30.27,30.27,0.06
7.2,1.64,9.4,271.82,31.1,27.04,24.5,83.67,1006.3,232.95,28.02,28.02,0.02
6.6,1.89,6.1,208.75,32.2,28.41,25.3,80.39,1008,261.73,30.82,30.82,0.07
103.8,1.7,6.6,219.09,31.6,28.14,24.1,82.12,1008.09,198.63,30.65,30.65,0.08
9,1.14,5.1,203.81,28.4,26.18,24,87.69,1008,46.81,26.93,26.93,0
0.2,1.57,5.7,183.18,31.8,27.91,25,80.12,1007.63,186.51,30.85,30.85,0.17
70.4,2.05,11.7,179.09,32.3,29,23.7,77.55,1007.1,245.49,31.05,31.05,0.13
32.8,1.41,5.6,276.52,31.6,27.81,24.6,82.22,1007.43,102.68,29.61,29.61,0.04
47.6,2.4,11.3,214.76,31.7,28.01,24,81.92,1008.04,342.65,29.75,29.75,0.01
