tanggal,temp_max,temp_avg,temp_min,ev_pan,dew point,rh,ws_avg,ws_max,sr,pp_air
12/9/2021,30.1,28.1,26,8.2,24.8,82,2.3,4.6,9.6,1010.6
12/10/2021,31.2,28.4,25,3.6,24.7,80.5,2.1,4.6,2.6,1010.7
12/11/2021,31,28.1,26.4,4.8,24.2,79.3,2.5,5.7,7,1010.5
12/12/2021,32,29.2,26.4,3.5,23.7,72.6,3.3,6.7,3.4,1009.4
12/13/2021,31.7,29.4,27.2,5.9,24,72.7,3.2,7.7,7.2,1008.5
12/14/2021,30.6,28.8,26.9,4.1,25.2,80.6,2.5,5.7,8.4,1007.5
12/15/2021,31.5,29.1,27.3,,24.5,76.3,1.4,3.6,,1008.1
12/16/2021,33,28.6,26.4,6.7,24.5,78.7,2.1,5.1,2.8,1008.2
12/17/2021,32.8,29.1,27,6,23.9,73.4,2,4.1,4.5,1008.3
12/18/2021,33,28.5,25.8,5.6,24.2,77.2,1.5,5.7,7.3,1008.5
12/19/2021,32.4,29.6,26.8,7.3,25.1,77.1,1.9,5.7,6.3,1009.9
12/20/2021,31.5,28,25.6,4.1,24.5,81.7,1.6,3.6,6.8,1011.1
12/21/2021,29.4,26.9,25.4,2,24.6,87.3,1.5,3.1,2.4,1011.4
12/22/2021,32.2,29,26,3.6,24.3,75.8,1.4,3.6,0.6,1010.3
12/23/2021,31.5,27.7,25.6,1.5,24,80.6,2.1,5.7,6.3,1009.9
12/24/2021,32.3,28.7,26.5,3.3,24.5,78.3,2.4,5.7,4.1,1009.6
12/25/2021,31.2,28,23.8,5.3,24.5,81,1.9,4.1,5,1011.1
12/26/2021,31.4,28.6,24.9,3.8,24,76.3,2.1,5.1,3.5,1011.4
12/27/2021,32.1,28.9,26,3.2,24.5,77.3,2.4,6.7,4.9,1011.4
12/28/2021,31.8,28.2,25,6,24.7,81.1,2.2,5.7,8.4,1010.6
12/29/2021,31,28.7,25.4,5.4,24.7,79.4,1.7,4.6,6.2,1010.4
12/30/2021,30.3,28.4,26.6,2.7,24.6,79.8,1.7,3.1,4.2,1010.5
12/31/2021,31.4,29,26.8,1.6,24.5,77.1,2.6,4.6,0.4,1010
1/1/2022,32.4,29.3,26.7,8,24,73.1,2.9,5.7,5.2,1009.6
1/2/2022,32.2,28.6,26,0.6,23.8,75.4,2.4,4.6,4.7,1009.2
1/3/2022,33,29.6,26.4,4.7,23.4,69.5,2.1,4.6,4.4,1009.4
1/4/2022,32.6,29.7,27.2,4.7,23.8,71,1.7,3.6,7.7,1010.3
1/5/2022,32.7,29.3,26.6,7,24.3,74.5,1.5,4.1,7.1,1010.1
1/6/2022,31.8,28.1,26.2,8.6,24.6,81.5,1.6,4.1,9.1,1011.1
1/7/2022,34.8,29.2,26.2,0.1,23.8,72.4,2.1,6.2,4,1010.8
1/8/2022,32.4,29.7,27.3,10.3,24.4,73.1,2.6,4.1,9.3,1010.1
1/9/2022,31.6,29.5,27.2,1.9,24.4,74.3,2.4,5.1,7.3,1008.9
1/10/2022,30.8,27.7,25,4.4,24.6,83.6,2.8,6.7,5.4,1010.1
1/11/2022,31.4,27.2,24.8,2.4,24.6,86,2.7,5.1,2.8,1011.3
1/12/2022,31.1,27.3,25.1,0.2,24.4,84.1,2.6,8.2,3.9,1011.1
1/13/2022,30.2,27.5,24.2,8.2,24.2,81.9,1.8,4.6,5.9,1011.2
1/14/2022,29.2,27.1,24.8,1.2,24.5,85.8,2.2,6.2,0,1010.8
1/15/2022,29.2,27.9,25,3,25,84,1.5,4.6,1,1010.4
1/16/2022,28.8,27.6,25.1,0,25,86.2,1.6,5.1,0.9,1010.6
1/17/2022,31.2,28.1,25.6,2.2,25.1,83.8,3.5,7.7,0,1009.6
1/18/2022,28.6,26.5,24.8,3.2,24.6,89.3,2.8,9.8,4.1,1009.2
1/19/2022,30.6,27.6,24.8,1.7,24.4,82.4,3.4,6.2,0,1009
1/20/2022,29.4,26.3,24.9,5.2,23.7,85.3,2.4,6.7,6.8,1010.1
1/21/2022,31.2,28.3,25.1,0.5,24.2,78.5,2.3,5.1,0.2,1009.5
1/22/2022,30.8,28.1,24.8,6.4,24.1,79,2.4,4.6,8.5,1009.3
1/23/2022,32.4,29.7,26.8,6.2,24.3,72.9,2.7,5.7,6,1008.2
1/24/2022,33.7,30,27.2,6.4,24.3,71.5,3.8,6.2,9.3,1007.3
1/25/2022,31.2,28.9,26.1,2.4,25,79.5,3.3,5.7,9.1,1008.5
1/26/2022,29.6,27.8,25.7,6,24.4,81.8,3,6.2,5.6,1009
1/27/2022,31.6,29,26.6,2.6,24.6,77.5,2.8,6.2,0,1009.4
1/28/2022,31.8,29.1,26.4,3.3,24.1,74.8,1.5,3.6,8.4,1010.1
1/29/2022,30.8,28.6,26.5,5.1,24.6,78.7,0.8,4.6,7.1,1009.6
1/30/2022,31.7,29.2,26.6,7.5,24.7,76.9,1.5,5.7,1.6,1009.2
1/31/2022,31.4,28.9,26.8,,24.6,77.7,2.3,5.1,,1009.1
2/1/2022,32,28.7,24.2,4.7,24.7,78.8,2,4.6,6.7,1008.9
2/2/2022,30.4,28.5,26.2,6.1,25,81.3,1.7,4.6,7.3,1009.9
2/3/2022,31.4,28.8,25,4.7,24.6,77.9,1.4,3.1,3.7,1009.2
2/4/2022,31.2,27.6,25.2,5.8,24.5,83.3,1.6,4.6,6.3,1008.3
2/5/2022,28.4,26.5,25.5,4.7,24.1,86.7,3.2,6.7,6.2,1008.6
2/6/2022,30.4,28,25.4,7.9,24.5,81.1,2.3,4.6,0,1008.4
2/7/2022,30.9,29,26.2,5.5,24.6,77.3,1.8,5.7,3.3,1008.6
2/8/2022,28.2,27,25.6,6.5,25,89,1.8,6.2,6.8,1009.5
2/9/2022,30.6,27.2,25,1.2,23.8,81.7,3.3,6.7,0,1009.3
2/10/2022,30.7,28,25.2,2.7,23.5,76.9,2.6,7.2,6.5,1008
2/11/2022,31.2,28.6,26.3,3,24.4,78.1,2.1,5.7,0.3,1007.5
2/12/2022,30.2,28.5,27.2,4.2,24.9,80.6,1.6,5.1,3.1,1006.6
2/13/2022,29.6,27.5,25.6,4.1,24,81.7,0.6,2.6,0,1006.9
2/14/2022,30.3,27.6,24.6,0.5,23.3,77.4,0.9,5.7,0.4,1008.3
2/15/2022,31,27.9,25.6,2.2,24,79.4,1.3,5.7,1,1007.6
2/16/2022,32.5,28.3,25.2,3.2,24.2,78.6,1.7,5.7,2.4,1006.3
2/17/2022,30.9,28.7,25.6,7.3,24.4,77.7,1.5,3.6,8.5,1007.8
2/18/2022,30,27.8,26.4,4.2,24.7,83.2,1,3.6,6.9,1008.9
2/19/2022,30.8,28.5,26.4,4.5,24.6,79.6,0.2,2.6,0.5,1009.6
2/20/2022,31.5,28.8,26.6,2.4,24.5,77.7,1.2,3.1,4,1009.6
2/21/2022,31.7,29.1,26.8,2.6,24.3,75.3,1.2,2.6,2.7,1009.8
2/22/2022,32.6,29.1,25.4,4.3,24.4,75.5,2.3,7.2,3.7,1010.1
2/23/2022,31.2,27.8,24.6,7.6,23.4,77,3.2,7.7,7.3,1010.9
2/24/2022,31.8,29.1,25,3.7,22.7,68.3,3.2,5.7,3.8,1010.2
2/25/2022,30.1,27.6,24.7,2.5,22.7,74.7,3.3,6.2,3,1010.1
2/26/2022,32.1,28.6,26.2,4.4,23,72.2,3.6,6.7,0.7,1010
2/27/2022,30.6,28.1,26.4,5,23.6,76.5,4.4,10.3,5.6,1009.4
