tanggal,tomang,sukapura,pulomas,manggarai,lebak bulus,kemayoran,kelapa gading,ciganjur,istana,manggarai2,sunter kodamar,sunter rawabadak,rorotan,bandara halim,pakubuwono,ragunan,pasar minggu,kapuk,kedoya selatan,pulo gadung,sunter hulu,setiabudi,waduk melati,cideng,karet,teluk gong
11/17/2021,0,0,1.8,0,0,3.6,2.4,1.4,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
11/18/2021,0,0,0,0,0.8,0,0.4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
11/20/2021,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
11/21/2021,3.8,6.4,16.6,25.4,6.2,13.2,5.8,1.4,31,27,15,1,6.5,,28,13,38,0,14,15,50,30,28,21,29,0
11/22/2021,0.2,0,0,0,0,0,0.4,1.2,0,0,0,0,0,,0,1,,0,0,0,4,0,0,0,0,0
11/23/2021,0,0,0,1.4,0.2,0,0,0,0,0,0,0,0,,0,0,1,1,,0,0,0,0,0,0,0
11/24/2021,0,0,1,0.2,0.4,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0
11/25/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
11/26/2021,0,0,0.2,0,29.4,0.4,0,20.6,0,0,0,0,,,2,41,35,0,0,5,67,0,0,0,0,0
11/27/2021,33.8,0,84.8,41.8,,64.2,32.4,4.4,18,42,29,31,10.5,,46,3,6,8,36,31,44,51,44,28,27,15
11/28/2021,5.2,4.8,6,12.8,,4,0.4,11.6,8,6,4,8,15,,7,9.5,4,6,6,5,8,11,5,7,3,3
11/29/2021,0.2,0,1.4,2,,0.2,0.4,1.4,0,1,2,2,1.5,,2,1,0.5,1,0,3,7,1,0,0,3,2
11/30/2021,0,0,0,0,0.6,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,0,0,0,0
12/1/2021,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,6,0,0,0,0,0
12/2/2021,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2021,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0
12/5/2021,0,0,2,0.4,0,4,0,0.2,3,2,2,0,3,1.3,2,1,2,3,0.8,0,1,0,2,2,2,5
12/6/2021,0.2,0,14,8.8,17.2,15.2,6,2.8,10,14,11,26,6.6,5.4,9,10,8.5,14,6.9,14,8,1,14,8,15,2
12/7/2021,1.4,0,5.8,0,0,67.2,5.8,3.2,67,64,64,31,62,52,67,40,32.5,71,71,50,26,33,58,60,62,66
12/8/2021,0,0,0,0,,0,0,0,0,1,2,1,2.5,1.3,4,3,3,2,0.3,0,17,2,1,2,0,21
12/9/2021,0,0,0,0,0,0,0,0,50,30,18,3,11,10.4,37,6,4,20,45,32,5,42,58,60,38,73
12/10/2021,0,0,0,0,0,0,0,0,0,23,10,36,6.5,8.6,9.5,0,8.5,2,7.3,3,3,31,19,1,10,0
12/11/2021,0,0,0,0,0,0,0,0,4,0,22,10,8,,3,3,,0,13,1,1,3,3,5,0,4
12/12/2021,,0,,,0,0,0,0,8,32,0,0,,30.4,9,2,5,0,12,8,4,27,20,5,18,0
12/13/2021,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0
12/14/2021,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2,0,0
12/15/2021,0,0,0,0,0,0,0,0,10,1,0,0,0,16.4,6.5,28.5,35.5,0,0,0,0,5,10,13,6,0
12/16/2021,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,3,11.5,8,0,0,0,0,0,3,0,0,0
12/17/2021,0,0,11.4,7.6,1.8,0,5,2.6,0,10,4,1,24.5,4.5,3,8,12,0,,8,12,9,6,6,22,0
